Filename,Speaker,Gender,Word,Word_beg,Word_end,Word_dur_ms,SyllPos,SyllStr,SyllIPA,Stress,Begin,End,Duration_in_ms,Max_dB,Min_dB,Mean_dB,Centre_mean_dB,MaxF0Hz,MinF0Hz,MeanF0,Centre_MeanF0,Language,SuffixCase,WordForm,LatinScript,Gloss,WordClass,StressedSyll,NounGender,Declension,StressShift,ShiftDirect,AttestedInCS,HasPause,HasGeminates,NormDur,NormInt,NormF0,NormMax_dB,NormMin_dB,NormMaxFOHz,NormMinFOHz,SyllType
Speaker_3_male_additional,Speaker_3,male,жебе,242.02598301010605,242.46034641848547,434.36340837942566,s1,cv,ʒie,NA,242.02598301010605,242.2340869672116,208.10395710557827,63.68503461216407,59.7992952978261,61.199506700137135,61.18419750803572,88.86202814877309,74.37999597404321,80.32334760509724,80.03252005071866,Kaz,NA,uninflected,jebe,arrow,Noun,NA,NA,NA,NA,NA,NA,NA,NA,-0.39287509382414093,-0.9511499599436777,-1.335747718639124,-1.9678100754861636,0.48212892197911134,-1.307250770430341,-1.2584706666971666,non_heavy
Speaker_3_male_additional,Speaker_3,male,жебе,242.02598301010605,242.46034641848547,434.36340837942566,s2,cv,bie,NA,242.2340869672116,242.46034641848547,226.2594512738474,65.6263458052147,55.87277573641119,61.07472490910797,63.842838718204455,99.23187319342115,72.49839730781575,87.10922418201459,87.66201236347509,Kaz,NA,uninflected,jebe,arrow,Noun,NA,NA,NA,NA,NA,NA,NA,NA,-0.15360007286082986,-0.9725345746112424,-1.2174342271999856,-1.5815284861133359,0.06444989141610578,-1.1521527837394376,-1.294014089836242,non_heavy
Speaker_3_male_additional,Speaker_3,male,кісі,245.9004491315939,246.45600376102053,555.5546294266662,s1,cv,kɪ,NA,245.9004491315939,246.1330283179241,232.5791863302129,55.83426136178624,33.9986097209005,45.312179738992185,43.071043604998906,NA,NA,NA,--undefined--,Kaz,NA,uninflected,kisi,person,Noun,NA,NA,NA,NA,NA,NA,NA,NA,-0.07031097458129816,-3.6738578355045473,NA,-3.5299548670154923,-2.26238951758979,NA,NA,non_heavy
Speaker_3_male_additional,Speaker_3,male,кісі,245.9004491315939,246.45600376102053,555.5546294266662,s2,cv,sɪ,NA,246.1330283179241,246.45600376102053,322.9754430964533,65.41068906915974,46.27240443310463,58.38927486706581,60.68502184166027,111.11302480685667,93.91384590245237,102.29873325867503,97.62573552643387,Kaz,NA,uninflected,kisi,person,Noun,NA,NA,NA,NA,NA,NA,NA,NA,1.121040030920367,-1.432756485872678,-0.952601256582862,-1.6244398065963528,-0.9567786333095012,-0.9744507364205842,-0.8894759889252629,non_heavy
Speaker_3_male_additional,Speaker_3,male,село,249.611467768574,250.0883072119665,476.8394433925778,s1,cv,sʲe,unstressed,249.611467768574,249.84988749027025,238.4197216962889,66.9151480501463,53.54210232530532,60.01589870473477,58.75518674343008,102.86256741306678,79.18309988224014,87.76668990447183,--undefined--,CS,NA,uninflected,selo,village,Noun,2,n,2,yes,backward,yes,NA,NA,0.0066626516501063155,-1.153992062868876,-1.2059711443920738,-1.3250829552053687,-0.18347282886671024,-1.0978498157266259,-1.1677399717545114,non_heavy
Speaker_3_male_additional,Speaker_3,male,село,249.611467768574,250.0883072119665,476.8394433925778,s2,cv,lo,stressed,249.84988749027025,250.0883072119665,238.4197216962889,65.00642917685964,54.460829077642586,62.37038865643085,63.93272936517973,106.47624226802981,78.96532575317984,89.58242030603748,88.50769368484418,CS,NA,uninflected,selo,village,Noun,2,n,2,yes,backward,yes,,,0.0066626516501063155,-0.7504887957623331,-1.1743134210476551,-1.7048793333844208,-0.08574432063784755,-1.0438014001382396,-1.171853727868855,non_heavy
Speaker_3_male_additional,Speaker_3,male,правда,253.13979224899805,253.6101882840417,470.3960350436489,s1,ccvc,prav,stressed,253.13979224899805,253.46143852778093,321.6462787828789,70.1800940356964,39.5506872827963,59.65359401060471,64.74424568332627,97.68861083070013,82.03057571976976,89.68182101057549,87.71636468117399,CS,NA,uninflected,pravda,truth,Noun,1,f,1,no,na,yes,,,1.1035226989190134,-1.2160824224663784,-1.1725803443740526,-0.6754248637930075,-1.6717936126434727,-1.175234795511389,-1.113951116358196,heavy
Speaker_3_male_additional,Speaker_3,male,правда,253.13979224899805,253.6101882840417,470.3960350436489,s2,cv,də,unstressed,253.46143852778093,253.6101882840417,148.74975626077003,67.05398124256439,57.31886730660565,62.43069002323649,65.11596348668189,111.7762338993493,87.3004797346835,95.48159528856178,98.00284583950194,CS,NA,uninflected,pravda,truth,Noun,1,f,1,no,na,yes,NA,NA,-1.1751164098563578,-0.7401545836755337,-1.0714597983974876,-1.2974579631809369,0.2182762293973444,-0.9645313601369632,-1.0144025613627023,non_heavy
Speaker_3_male_additional,Speaker_3,male,білім,256.7619668915817,257.10363784141725,341.6709498355317,s1,cv,bɪ,NA,256.7619668915817,256.9196611761212,157.6942845395024,63.74371795930941,45.37099768423325,54.863786258196775,53.03963486302411,99.6291599512371,77.08100081243005,82.57618867477991,85.83998005933829,Kaz,NA,uninflected,bilim,knowledge,Noun,NA,NA,NA,NA,NA,NA,NA,NA,-1.05723461762505,-2.0369409169002175,-1.296468859144641,-1.9561332785428576,-1.0526647459654328,-1.1462107107372947,-1.207448650368915,non_heavy
Speaker_3_male_additional,Speaker_3,male,білім,256.7619668915817,257.10363784141725,341.6709498355317,s2,cvc,lɪm,NA,256.9196611761212,257.10363784141725,183.9766652960293,63.41991390161207,59.19795021548407,61.98563345749573,62.75918777973883,95.00830775932056,77.16479838196594,87.04157479722763,87.48295635051001,Kaz,NA,uninflected,bilim,knowledge,Noun,NA,NA,NA,NA,NA,NA,NA,NA,-0.7108536737521661,-0.8164266349511187,-1.2186137115034699,-2.0205637245735866,0.41816152614728175,-1.2153231100717852,-1.2058657131966584,heavy
Speaker_3_male_additional,Speaker_3,male,опыт,260.9754766600733,261.4990142155392,523.5375554659072,s1,v,o,stressed,260.9754766600733,261.18582627912696,210.3496190536589,64.07471953481969,58.86252153879184,60.707465754401234,61.06918981710699,105.47682419298555,93.1537698306109,97.60347804069882,94.9415195046898,CS,NA,uninflected,opyt,experience,Noun,1,m,2,no,na,yes,,,-0.3632790495235341,-1.0354740102593771,-1.0344642306201755,-1.8902706723153107,0.38248068403953023,-1.0587493314365828,-0.9038338357521387,non_heavy
Speaker_3_male_additional,Speaker_3,male,опыт,260.9754766600733,261.4990142155392,523.5375554659072,s2,cvc,pət,unstressed,261.18582627912696,261.4990142155392,313.1879364122483,57.407721681858924,39.101875823116615,47.30919045671847,48.97637853995553,NA,NA,NA,--undefined--,CS,NA,uninflected,opyt,experience,Noun,1,m,2,no,na,yes,NA,NA,0.9920484515485026,-3.331617959531039,NA,-3.2168681473651293,-1.719535418701616,NA,NA,heavy
Speaker_3_male_additional,Speaker_3,male,апрель,264.9597440934831,265.4688525958906,509.10850240751415,s1,v,a,unstressed,264.9597440934831,265.0896353878314,129.89129434828328,64.55183789550489,43.363779671495415,59.55581269021592,62.63964519632109,84.87001955855428,75.11450143764792,81.02365050576456,81.06229400346396,CS,NA,uninflected,aprel',april,Noun,2,m,2,no,na,yes,NA,NA,-1.423655988433759,-1.2328398022166909,-1.323537758687193,-1.7953337866968753,-1.266180267937476,-1.3669577855814767,-1.2445958489905786,non_heavy
