file,time,word,vowel,stress,duration,F1,F2,F3,syllables,Language,WordForm,LatinScript,Gloss,VowelHeight,VowelBackness,Norm_F1,Norm_F2,Speaker,Gender
Speaker_1_male,291.89355891393586,ыдысты,ə,NA,0.11266723825644932,438.6085925482104,1301.7157455212916,2634.565147577398,s3,Kaz,inflected,ydysty,dishes.ACC,non-high,back,-0.2477672419551186,-0.41315225021578733,Speaker_1,male
Speaker_2_female,146.4131017230592,ыдысты,ə,NA,0.08842392405313149,583.4027535648378,1010.7841766959806,3014.5145885198967,s1,Kaz,inflected,ydysty,dishes.ACC,non-high,back,0.13145262998151291,-0.9464544364342474,Speaker_2,female
Speaker_2_female,146.60067534734648,ыдысты,ə,NA,0.06258273848965246,525.036647328022,1298.9909837158723,3112.360814108478,s2,Kaz,inflected,ydysty,dishes.ACC,non-high,back,-0.2282153238370697,-0.3858602913891363,Speaker_2,female
Speaker_2_female,146.94099819110832,ыдысты,ə,NA,0.08504589706063825,564.3623313076752,1502.8921178002342,3024.6679511290827,s3,Kaz,inflected,ydysty,dishes.ACC,non-high,back,0.014120326104853104,0.010749986895728026,Speaker_2,female
Speaker_3_male,182.1754935006606,ыдысты,ə,NA,0.04897781219045782,517.3792230660075,1059.1896212022868,2480.5122086992883,s1,Kaz,inflected,ydysty,dishes.ACC,non-high,back,0.41008834698279234,-1.0523893383011471,Speaker_3,male
Speaker_3_male,182.2863161123206,ыдысты,ə,NA,0.06361595915603857,404.526150633722,1138.1989257188711,2396.390108942619,s2,Kaz,inflected,ydysty,dishes.ACC,non-high,back,-0.4979461753319876,-0.8118295039958646,Speaker_3,male
Speaker_3_male,182.57493474168325,ыдысты,ə,NA,0.13127018237634047,406.4399012990668,1307.5669505363348,2348.5293427077063,s3,Kaz,inflected,ydysty,dishes.ACC,non-high,back,-0.4825478203401143,-0.29615423972176946,Speaker_3,male
Speaker_4_female,80.91334204921179,ыдысты,ə,NA,0.09054688943332678,687.6580710038139,1320.789964399209,3301.3487752159554,s1,Kaz,inflected,ydysty,dishes.ACC,non-high,back,0.4411771710529499,-0.8591433027732248,Speaker_4,female
Speaker_4_female,81.05200357156912,ыдысты,ə,NA,0.04394733065441869,449.8062529331906,1554.768621750571,2482.73391265462,s2,Kaz,inflected,ydysty,dishes.ACC,non-high,back,-0.6999281542663196,-0.34474384267696506,Speaker_4,female
Speaker_4_female,81.35963488615005,ыдысты,ə,NA,0.14557553279276192,670.9824673533907,1712.03936282402,3181.311488464639,s3,Kaz,inflected,ydysty,dishes.ACC,non-high,back,0.36117517534501137,0.001014121801114238,Speaker_4,female
Speaker_1_male,38.52786157365501,январьдың,ə,NA,0.0475611674015397,407.615749566112,1337.8822068250656,2702.5737363969756,s3,CS,inflected,yanvar'dyń,january.GEN,non-high,back,-0.45573684316839014,-0.3223280383830895,Speaker_1,male
Speaker_4_female,223.9389948456052,январьдың,ə,NA,0.04881013569078618,376.4235823627843,1472.295717737067,2529.5857802368355,s3,CS,inflected,yanvar'dyń,january.GEN,non-high,back,-1.0519849804587382,-0.5260595993248445,Speaker_4,female
Speaker_1_male_additional,122.31516083178124,қазы,ɑ,NA,0.09915543694009445,662.1995528964271,1131.8766712742688,2703.288131592481,s1,Kaz,uninflected,qazy,judge,non-high,back,1.8696270765795155,-0.8125073330395889,Speaker_1,male
Speaker_1_male_additional,122.5499729105899,қазы,ə,NA,0.11717319759718237,411.1788145306556,1346.1573809201188,2603.796087594998,s2,Kaz,uninflected,qazy,judge,non-high,back,-0.2569111771246059,-0.32001963055514154,Speaker_1,male
Speaker_2_female_additional,88.83912865509927,қазы,ɑ,NA,0.14377231708787974,784.5833332550214,1042.9170054758492,1406.7942888192092,s1,Kaz,uninflected,qazy,judge,non-high,back,1.6909208735076464,-0.6537631501843122,Speaker_2,female
